TEAM,pageview_sum,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
ATL,3433999,238.0,95.5
ATL/CLE,396987,107.5,30.5
ATL/LAL,4040,0.0,0.0
ATL/PHI/OKC,9703,0.0,0.0
BKN,2723853,990.0,323.5
BKN/WSH,62771,5.0,5.0
BOS,2676566,304.0,301.0
CHA,1966181,405.5,182.5
CHI,5217747,890.0,519.5
CHI/OKC,850617,90.5,43.0
CLE,17866420,8342.5,2713.0
CLE/DAL,1394700,95.0,25.0
CLE/MIA,3555,0.0,0.0
DAL,4421889,1683.0,591.5
DAL/BKN,244808,41.5,13.0
DAL/PHI,335634,110.0,74.0
DEN,1397067,150.5,145.5
DEN/CHA,278703,0.0,0.0
DEN/POR,331346,45.0,43.5
DET,1572055,48.5,107.5
GS,22537640,15623.0,3833.0
GS/CHA,60735,29.5,14.0
GS/SAC,534343,50.0,7.0
HOU,2581638,1522.5,489.5
HOU/LAL,430209,89.0,30.5
HOU/MEM,45013,5.0,9.0
IND,1823736,317.5,188.0
LAC,5597709,1848.5,522.5
LAL,5017844,439.0,647.0
MEM,2784387,406.0,255.0
MIA,2242465,436.5,286.5
MIL,3747395,479.0,228.5
MIL/CHA,317611,23.0,7.0
MIN,4395543,824.0,387.0
NO,968470,389.5,171.0
NO/DAL,126245,0.0,0.0
NO/MEM,2659,0.0,0.0
NO/MIL,103718,42.0,18.5
NO/MIN/SAC,98865,24.0,7.0
NO/ORL,4596,3.0,3.0
NO/PHI,33448,0.0,0.0
NO/SAC,2010139,634.5,435.5
NY,5317688,3074.5,3090.0
NY/PHI,47492,13.5,7.0
NY/WSH,462348,0.0,0.0
OKC,5702499,2445.0,994.5
ORL,1969834,458.0,328.0
ORL/TOR,850243,0.0,0.0
PHI,1786854,6956.5,2994.0
PHI/OKC,172823,9.0,3.0
PHX,2676372,1251.0,414.0
POR,2327091,579.5,204.5
SA,5067814,4326.5,1114.5
SAC,1631910,166.5,82.0
TOR,3536968,840.0,478.5
UTAH,1769598,1460.0,365.5
WSH,862183,123.5,164.0
